file	line	kind	name	uses	vetting	body_head	red_flags
Jacobians/AbelianVariety/ComplexTorus.lean	15	def	ComplexTorus	85	used	V ⧸ L.toAddSubgroup  namespace ComplexTorus  variable {V : T	
Jacobians/AbelianVariety/ComplexTorus.lean	22	instance	instAddCommGroup	5	instance	inferInstanceAs (AddCommGroup (V ⧸ L.toAddSubgroup))	
Jacobians/AbelianVariety/ComplexTorus.lean	25	instance	instTopologicalSpace	6	instance	inferInstanceAs (TopologicalSpace (V ⧸ L.toAddSubgroup))	
Jacobians/AbelianVariety/ComplexTorus.lean	28	instance	instIsTopologicalAddGroup	0	instance	inferInstanceAs (IsTopologicalAddGroup (V ⧸ L.toAddSubgroup)	
Jacobians/AbelianVariety/ComplexTorus.lean	31	instance	instT2Space	3	instance	by   letI : IsClosed (L.toAddSubgroup : Set V) :=     AddSub	
Jacobians/AbelianVariety/ComplexTorus.lean	38	instance	instConnectedSpace	3	instance	Function.Surjective.connectedSpace QuotientAddGroup.mk_surje	
Jacobians/AbelianVariety/ComplexTorus.lean	42	instance	instCompactSpace	3	instance	by   rw [← isCompact_univ_iff]   simpa [ComplexTorus, Set.ra	
Jacobians/AbelianVariety/Siegel.lean	40	def	SiegelUpperHalfSpace	30	used	{ τ : Matrix (Fin g) (Fin g) ℂ // τ.IsSymm ∧ (τ.map Complex.	
Jacobians/AbelianVariety/Siegel.lean	48	def	val	465	used	τ.1  /-- The symmetry condition `τ = τᵀ`. -/ theorem isSymm 	
Jacobians/AbelianVariety/Theta.lean	22	structure	that	168	used		
Jacobians/AbelianVariety/Theta.lean	45	nc-def	thetaSummand	4	used	Complex.exp ((Real.pi : ℂ) * I *                 dotProduct 	
Jacobians/AbelianVariety/Theta.lean	53	nc-def	RiemannTheta	11	used	∑' (n : Fin g → ℤ), thetaSummand z τ n  namespace RiemannThe	
Jacobians/Axioms/AbelJacobiMap.lean	130	nc-def	pullbackOneForm	19	used	(Jacobians.Bridge.bridgeFormEquiv (X := X)).symm.toLinearMap	
Jacobians/Axioms/AbelJacobiMap.lean	220	nc-def	ofCurveAmbient	5	used	fun P₀ P i => pathIntegralBasepointFunctional X P₀ P (jacobi	
Jacobians/Axioms/AbelJacobiMap.lean	229	nc-def	ofCurveImpl	22	used	fun P => ULift.up <|     QuotientAddGroup.mk' _ (ofCurveAmbi	
Jacobians/Axioms/AbelJacobiMap.lean	272	nc-def	pushforwardAmbientLinear	16	used	let eX : (HolomorphicOneForm X →ₗ[ℂ] ℂ) ≃ₗ[ℂ] (Fin (genus X)	
